model,ship_id,val_rows,R1,R3,R5,gallery_count,ship_max_day_fraction,ship_top3_day_fraction,majority_date_global_fraction,ship_concentration_bin,global_spike_bin,gallery_count_bin,Score
projection_clip_trainonly,112,13,0.0,0.0,0.0,81,0.25925925925925924,0.654320987654321,0.08425720620842572,25-50%,<=10%,Q3,0.0
projection_clip_trainonly,120,17,0.0,0.0,0.0,62,0.27419354838709675,0.7741935483870968,0.05366591080876795,25-50%,<=10%,Q3,0.0
projection_clip_trainonly,122,18,0.0,0.0,0.0,111,0.38738738738738737,0.7837837837837838,0.125,25-50%,10-20%,Q4_high_count,0.0
projection_clip_trainonly,126,16,0.0625,0.25,0.5625,21,0.9523809523809523,1.0,0.22807017543859648,>75%,20-50%,Q1_low_count,0.21875
projection_clip_trainonly,132,14,0.0,0.0,0.0,100,0.16,0.46,0.16920731707317074,<=25%,10-20%,Q4_high_count,0.0
projection_clip_trainonly,136,100,0.89,0.92,0.93,9,1.0,1.0,0.16228070175438597,>75%,10-20%,Q1_low_count,0.9070000000000001
projection_clip_trainonly,140,8,0.125,0.125,0.25,45,0.28888888888888886,0.7111111111111111,0.1706239646604086,25-50%,10-20%,Q2,0.15000000000000002
projection_clip_trainonly,143,21,0.0,0.0,0.0,133,0.21052631578947367,0.45864661654135336,0.05135284373274434,<=25%,<=10%,Q4_high_count,0.0
projection_clip_trainonly,146,11,0.0,0.0,0.0,40,0.575,1.0,0.15570672713529857,50-75%,10-20%,Q2,0.0
projection_clip_trainonly,148,7,0.0,0.0,0.0,38,0.3157894736842105,0.8421052631578947,0.17073170731707318,25-50%,10-20%,Q2,0.0
projection_clip_trainonly,153,20,0.15,0.2,0.5,29,1.0,1.0,0.06478658536585366,>75%,<=10%,Q1_low_count,0.23500000000000001
projection_clip_trainonly,154,14,0.0,0.0,0.21428571428571427,50,0.38,0.92,0.17355371900826447,25-50%,10-20%,Q2,0.04285714285714286
projection_clip_trainonly,155,28,0.0,0.0,0.0,181,0.09392265193370165,0.27624309392265195,0.06651884700665188,<=25%,<=10%,Q4_high_count,0.0
projection_clip_trainonly,159,14,0.0,0.07142857142857142,0.07142857142857142,49,0.5510204081632653,1.0,0.1524122807017544,50-75%,10-20%,Q2,0.03571428571428571
projection_clip_trainonly,163,26,0.0,0.0,0.0,139,0.33093525179856115,0.6762589928057554,0.05245720596355605,25-50%,<=10%,Q4_high_count,0.0
projection_clip_trainonly,170,14,0.0,0.0,0.0,48,0.4166666666666667,0.8958333333333334,0.1706239646604086,25-50%,10-20%,Q2,0.0
projection_clip_trainonly,172,14,0.0,0.0,0.0,78,0.6666666666666666,1.0,0.1706239646604086,50-75%,10-20%,Q3,0.0
projection_clip_trainonly,173,10,0.0,0.0,0.0,64,0.234375,0.59375,0.6658595641646489,<=25%,>50%,Q3,0.0
projection_clip_trainonly,178,14,0.0,0.0,0.0,69,0.2753623188405797,0.7681159420289855,0.6658595641646489,25-50%,>50%,Q3,0.0
projection_clip_trainonly,184,13,0.0,0.0,0.0,51,0.39215686274509803,0.9803921568627451,0.03552532123960695,25-50%,<=10%,Q3,0.0
projection_clip_trainonly,186,6,0.0,0.0,0.0,31,0.41935483870967744,0.9354838709677419,0.22807017543859648,25-50%,20-50%,Q1_low_count,0.0
projection_clip_trainonly,189,13,0.0,0.0,0.0,41,0.4146341463414634,1.0,0.1524122807017544,25-50%,10-20%,Q2,0.0
projection_clip_trainonly,190,6,0.0,0.5,0.6666666666666666,31,0.22580645161290322,0.5483870967741935,0.03325774754346183,<=25%,<=10%,Q1_low_count,0.2833333333333333
projection_clip_trainonly,191,7,0.0,0.0,0.0,46,0.45652173913043476,0.9565217391304348,0.1706239646604086,25-50%,10-20%,Q2,0.0
projection_clip_trainonly,192,6,0.0,0.0,0.0,34,0.2647058823529412,0.6470588235294118,0.15570672713529857,25-50%,10-20%,Q1_low_count,0.0
projection_clip_trainonly,195,8,0.25,0.25,0.25,52,0.5384615384615384,0.9423076923076923,0.15570672713529857,50-75%,10-20%,Q3,0.25
projection_clip_trainonly,196,18,0.05555555555555555,0.1111111111111111,0.1111111111111111,48,0.5,1.0,0.17073170731707318,25-50%,10-20%,Q2,0.08333333333333333
projection_clip_trainonly,201,46,0.0,0.0,0.0,100,0.66,1.0,0.16228070175438597,50-75%,10-20%,Q4_high_count,0.0
projection_clip_trainonly,202,10,0.0,0.0,0.0,48,0.5625,1.0,0.042682926829268296,50-75%,<=10%,Q2,0.0
projection_clip_trainonly,206,13,0.0,0.0,0.0,94,0.30851063829787234,0.7446808510638298,0.125,25-50%,10-20%,Q4_high_count,0.0
projection_clip_trainonly,208,7,0.0,0.0,0.14285714285714285,37,0.16216216216216217,0.4864864864864865,0.1706239646604086,<=25%,10-20%,Q2,0.02857142857142857
projection_clip_trainonly,212,12,0.0,0.0,0.0,49,0.42857142857142855,0.7959183673469388,0.036443953616786304,25-50%,<=10%,Q2,0.0
projection_clip_trainonly,216,13,0.0,0.0,0.0,73,0.273972602739726,0.4794520547945205,0.082039911308204,25-50%,<=10%,Q3,0.0
projection_clip_trainonly,217,6,0.0,0.3333333333333333,0.3333333333333333,28,0.35714285714285715,0.9285714285714286,0.037347560975609755,25-50%,<=10%,Q1_low_count,0.16666666666666666
projection_clip_trainonly,221,7,0.0,0.14285714285714285,0.2857142857142857,34,0.35294117647058826,0.8529411764705882,0.037694013303769404,25-50%,<=10%,Q1_low_count,0.09999999999999999
projection_clip_trainonly,231,10,0.0,0.2,0.2,22,0.5454545454545454,1.0,0.06478658536585366,50-75%,<=10%,Q1_low_count,0.1
projection_clip_trainonly,237,6,0.0,0.0,0.0,36,0.2777777777777778,0.4722222222222222,0.07095343680709534,25-50%,<=10%,Q1_low_count,0.0
projection_clip_trainonly,240,15,0.0,0.0,0.0,98,0.35714285714285715,0.7959183673469388,0.03277439024390244,25-50%,<=10%,Q4_high_count,0.0
projection_clip_trainonly,241,6,0.0,0.0,0.16666666666666666,43,0.13953488372093023,0.37209302325581395,0.0176697956929873,<=25%,<=10%,Q2,0.03333333333333333
projection_clip_trainonly,242,30,0.13333333333333333,0.3,0.4,12,1.0,1.0,0.26859504132231404,>75%,20-50%,Q1_low_count,0.2366666666666667
projection_clip_trainonly,243,11,0.0,0.0,0.0,65,0.24615384615384617,0.49230769230769234,0.04212860310421286,<=25%,<=10%,Q3,0.0
projection_clip_trainonly,251,10,0.0,0.2,0.4,39,0.38461538461538464,0.8461538461538461,0.042682926829268296,25-50%,<=10%,Q2,0.14
projection_clip_trainonly,254,16,0.0,0.0,0.0,83,0.27710843373493976,0.7228915662650602,0.6658595641646489,25-50%,>50%,Q4_high_count,0.0
projection_clip_trainonly,256,15,0.0,0.0,0.0,72,0.2777777777777778,0.7777777777777778,0.06030701754385965,25-50%,<=10%,Q3,0.0
projection_clip_trainonly,257,5,0.0,0.0,0.6,34,0.14705882352941177,0.3235294117647059,0.04417448923246825,<=25%,<=10%,Q1_low_count,0.12
projection_clip_trainonly,260,17,0.0,0.0,0.0,73,0.8904109589041096,1.0,0.1706239646604086,>75%,10-20%,Q3,0.0
