model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,pred_gallery_count_mean,pred_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-11-26,1,1,1,21.0,0.0465631929046563,65.0,0.3230769230769231,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-11-28,3,1,3,32.0,0.0709534368070953,36.0,0.2777777777777778,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-11-29,11,1,10,17.0,0.0376940133037694,34.0,0.3529411764705882,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-11-30,2,1,2,23.0,0.0509977827050997,62.0,0.3548387096774194,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-12-04,23,6,17,309.0,0.1706239646604086,47.130434782608695,0.30651556566017807,0.0,0.043478260869565216,0.08695652173913043,0.03043478260869565
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-12-05,6,1,6,107.0,0.0590833793484262,51.0,0.6274509803921569,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-12-06,2,1,2,33.0,0.0182219768083931,52.0,0.173076923076923,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-12-17,5,1,4,63.0,0.0347874102705687,38.0,0.2631578947368421,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-12-19,1,1,1,32.0,0.0176697956929873,43.0,0.1395348837209302,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-12-20,3,1,3,57.0,0.0314743235781336,45.0,0.2888888888888888,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-12-27,8,1,7,80.0,0.0441744892324682,34.0,0.1470588235294117,0.0,0.0,0.125,0.025
