weights,w_r100s123_conservative,w_r80s123_balanced,w_r100s777_conservative,w_r100s123_val086,official_R@1,official_R@3,official_R@5,official_Score,official_top1_unique,official_top1_max_fraction,robust_mean_score,robust_min_score,robust_std_score,robust_mean_top1_max_fraction,balanced_score,conservative_score
"(0.05, 0.7, 0.2, 0.05)",0.05,0.7,0.2,0.05,0.044876088412592094,0.0971198928332217,0.14534494306764903,0.08064300066979235,31,0.5880776959142666,0.11994732806267476,0.09488503050211167,0.021535223954715924,0.49730480905361196,0.15982118959638297,0.1280855159208482
"(0.1, 0.85, 0.0, 0.05)",0.1,0.85,0.0,0.05,0.042866711319490956,0.0971198928332217,0.144675150703282,0.07950435365036838,30,0.5827193569993302,0.12023126747633203,0.09496944052656323,0.021488818859901133,0.4906163740787736,0.15981243784008248,0.12698907391365
"(0.3, 0.65, 0.0, 0.05)",0.3,0.65,0.0,0.05,0.044876088412592094,0.0971198928332217,0.14534494306764903,0.08064300066979235,34,0.5914266577361018,0.12015808291595367,0.09540122008446739,0.021197664746501158,0.4980124072667552,0.15978769496756445,0.12834361071202605
"(0.0, 0.7, 0.25, 0.05)",0.0,0.7,0.25,0.05,0.046215673141326186,0.09645010046885466,0.14534494306764903,0.0811118553248493,30,0.5894172806430007,0.11965407566311086,0.09483810417644298,0.021355533725283163,0.4948580529537924,0.15977239097973156,0.12853090741307077
"(0.05, 0.8, 0.1, 0.05)",0.05,0.8,0.1,0.05,0.04420629604822505,0.09645010046885466,0.14601473543201607,0.08024112525117214,30,0.5833891493636972,0.11972408683892347,0.09455654622243079,0.021687712323178763,0.49219146476152736,0.15973511279675642,0.12751939836238751
"(0.1, 0.8, 0.1, 0.0)",0.1,0.8,0.1,0.0,0.044876088412592094,0.09444072337575352,0.14735432016075017,0.08024112525117214,32,0.5820495646349632,0.1197095247299131,0.09413420929141249,0.0223914795028158,0.49305193727190116,0.159710319931547,0.12730822989687837
"(0.05, 0.6, 0.3, 0.05)",0.05,0.6,0.3,0.05,0.04822505023442733,0.09645010046885466,0.144675150703282,0.08198258539852646,30,0.5934360348292029,0.1198003002254133,0.0938057250117316,0.02122938754802075,0.501318696638263,0.1596703429054251,0.12888544790439227
"(0.05, 0.55, 0.3, 0.1)",0.05,0.55,0.3,0.1,0.047555257870060284,0.0971198928332217,0.144675150703282,0.08184862692565305,29,0.5987943737441394,0.12026317741855745,0.09474425152510557,0.020702092926790334,0.5048469928247935,0.1596647740451424,0.12922075268820582
"(0.15, 0.6, 0.15, 0.1)",0.15,0.6,0.15,0.1,0.046215673141326186,0.09578030810448761,0.14333556597454788,0.08050904219691896,30,0.5967849966510381,0.12109619613931755,0.09511966213045518,0.021509164438035074,0.5011892271918942,0.15964731990380837,0.12806887326214655
"(0.75, 0.25, 0.0, 0.0)",0.75,0.25,0.0,0.0,0.04688546550569324,0.09778968519758875,0.14869390488948425,0.0825184192900201,34,0.6048225050234427,0.12049260657337527,0.09469732519943688,0.021421734281138888,0.5062289866736402,0.15963631270959738,0.12986708188973856
"(0.9, 0.1, 0.0, 0.0)",0.9,0.1,0.0,0.0,0.046215673141326186,0.10180843938379103,0.14735432016075017,0.08312123241795043,32,0.6008037508372405,0.11973378979991503,0.09375879868606288,0.021272412885003446,0.507815856506374,0.1596138589353108,0.13000063176098187
"(0.15, 0.7, 0.05, 0.1)",0.15,0.7,0.05,0.1,0.04554588077695914,0.09845947756195579,0.1419959812458138,0.08070997990622907,31,0.5927662424648359,0.12020836311875852,0.09521351478179259,0.021171220171579505,0.49708113396050824,0.15961016404615846,0.12831673729712537
"(0.1, 0.7, 0.2, 0.0)",0.1,0.7,0.2,0.0,0.044876088412592094,0.09444072337575352,0.14735432016075017,0.08024112525117214,30,0.5874079035498996,0.1202244208386247,0.0945096198967621,0.021794787528634944,0.49795399491275044,0.15960917050569295,0.12749593519955318
"(0.1, 0.6, 0.2, 0.1)",0.1,0.6,0.2,0.1,0.046215673141326186,0.09778968519758875,0.14400535833891492,0.0812458137977227,30,0.5974547890154053,0.12064626589081025,0.09465039887376817,0.02148436249348585,0.5013226363378281,0.15959906077310623,0.1285710132346068
"(0.15, 0.6, 0.25, 0.0)",0.15,0.6,0.25,0.0,0.046215673141326186,0.09310113864701942,0.14601473543201607,0.08024112525117214,30,0.5914266577361018,0.12095637760505173,0.09422806194274988,0.022255264850282733,0.5038410357732996,0.15959753516718353,0.12735515622254706
"(0.0, 0.75, 0.15, 0.1)",0.0,0.75,0.15,0.1,0.044876088412592094,0.09778968519758875,0.144675150703282,0.08070997990622908,30,0.5887474882786337,0.11979462918798003,0.09474425152510557,0.021440915188805504,0.4926167422796716,0.15956461161496685,0.12808210566878186
"(0.05, 0.55, 0.35, 0.05)",0.05,0.55,0.35,0.05,0.04822505023442733,0.09645010046885466,0.14333556597454788,0.08171466845277964,31,0.5974547890154053,0.1203890219612381,0.09413420929141247,0.02115435353036959,0.5031679155702031,0.15955257670741319,0.12878177309848587
"(0.05, 0.9, 0.0, 0.05)",0.05,0.9,0.0,0.05,0.042866711319490956,0.09645010046885466,0.14534494306764903,0.07943737441393167,30,0.580040187541862,0.11975543766353185,0.09469732519943688,0.02177051264346612,0.4873307853424541,0.15953544654590265,0.1267860370136501
"(0.0, 0.85, 0.1, 0.05)",0.0,0.85,0.1,0.05,0.044876088412592094,0.09578030810448761,0.14601473543201607,0.08037508372404555,31,0.5807099799062291,0.11913218772366134,0.09418113561708118,0.02137625613281715,0.48847528677462326,0.15949134227031314,0.12746565153258613
"(0.95, 0.0, 0.05, 0.0)",0.95,0.0,0.05,0.0,0.04554588077695914,0.09912926992632284,0.14668452779638314,0.08184862692565306,32,0.5907568653717348,0.1197250159769955,0.09305490380103237,0.022551013255378657,0.5067031288685779,0.15948756499740452,0.12837607882616925
"(0.95, 0.0, 0.0, 0.05)",0.95,0.0,0.0,0.05,0.044876088412592094,0.09912926992632284,0.14400535833891492,0.08097789685197589,30,0.5914266577361018,0.11995891828975477,0.09449929478138222,0.021628555198316357,0.5025991518344558,0.1594724638720065,0.128227544242667
"(0.2, 0.65, 0.15, 0.0)",0.2,0.65,0.15,0.0,0.044876088412592094,0.09645010046885466,0.14601473543201607,0.08057602143335565,31,0.5887474882786337,0.12015006403826747,0.09408728296574378,0.021595147789664256,0.5023597977418833,0.15945760371269996,0.12761966291622756
"(0.7, 0.25, 0.0, 0.05)",0.7,0.25,0.0,0.05,0.046215673141326186,0.09845947756195579,0.14869390488948425,0.08238446081714668,31,0.608171466845278,0.12080138152468982,0.09497888315344909,0.021331206417744688,0.5059476052173268,0.15944956389176934,0.12987390239387123
"(0.0, 0.7, 0.15, 0.15)",0.0,0.7,0.15,0.15,0.04688546550569324,0.09979906229068988,0.144675150703282,0.08231748158070998,30,0.595445411922304,0.11913273654667522,0.09460347254809949,0.020749779883185094,0.4925497046856647,0.15943514261308933,0.12961921785475972
"(0.05, 0.85, 0.05, 0.05)",0.05,0.85,0.05,0.05,0.043536503683858,0.09645010046885466,0.14601473543201607,0.07990622906898862,30,0.5827193569993302,0.11986086121203181,0.09413420929141247,0.022086135039813867,0.48964430879403853,0.15942629137682712,0.12697333371469485
"(0.05, 0.8, 0.05, 0.1)",0.05,0.8,0.05,0.1,0.04420629604822505,0.09778968519758875,0.144675150703282,0.08037508372404555,31,0.5880776959142666,0.11973611431537894,0.09496944052656323,0.021078324064563597,0.4909877084355747,0.15938426391556612,0.12785980398732716
"(0.25, 0.65, 0.05, 0.05)",0.25,0.65,0.05,0.05,0.04554588077695914,0.09578030810448761,0.1419959812458138,0.07990622906898862,33,0.5900870730073677,0.12021835015621576,0.09554199906147348,0.02120818969721792,0.49975285738751474,0.15938251780483598,0.12767722859972536
"(0.0, 0.55, 0.35, 0.1)",0.0,0.55,0.35,0.1,0.04822505023442733,0.0971198928332217,0.144675150703282,0.08218352310783658,30,0.5987943737441394,0.12014523051989776,0.09371187236039417,0.020871815551650314,0.5021415541287271,0.15936553374631052,0.12903945928803368
"(0.0, 0.65, 0.2, 0.15)",0.0,0.65,0.2,0.15,0.04688546550569324,0.09979906229068988,0.14400535833891492,0.08218352310783657,29,0.5974547890154053,0.1194461924681621,0.09469732519943688,0.020575945233415688,0.4961716770258338,0.15936015982340632,0.129532185707555
